DISTRICT,length
Bagalkot,258.4494748923959
Bangalore,314.17053868691517
Bangalore Rural,319.96595928075686
Belgaum,528.9225408842018
Bellary,304.7895218607748
Bidar,247.3482996856684
Bijapur,424.19728089407334
Chamrajnagar,217.7372545811336
Chikkaballapura,209.15453407036478
Chikmagalur,334.4235726856799
Chitradurga,531.9324433577386
Dakshina Kannada,316.3395657503408
Davanagere,177.87740658843222
Dharwad,314.9787517810359
Gadag,111.5487675004557
Gulbarga,294.5515775089874
Hassan,436.23135570814065
Haveri,306.5827303700604
Kodagu,63.80686378233747
Kolar,221.5984058415671
Koppal,288.35871133679126
Mandya,337.5559041218464
Mysore,361.5100050709624
Raichur,167.7466690163725
Ramanagara,199.42636236769394
Shimoga,479.1409947671086
Tumkur,630.2476093485689
Udupi,277.33157690260043
Uttara Kannada,424.1840396680822
Yadgir,144.85832767355208
